"""","(流出)_県内に常住し、県外で従業する15歳以上就業者_平成7年_1995","(流出)_県内に常住し、県外で従業する15歳以上就業者_平成12年_2000","(流出)_県内に常住し、県外で従業する15歳以上就業者_平成17年_2005","(流出)_県内に常住し、県外で従業する15歳以上就業者_平成22年_2010","  (流入)_ 県外に常住し、県内で従業する15歳以上就業者_平成 7年_1995","  (流入)_ 県外に常住し、県内で従業する15歳以上就業者_平成12年_2000","  (流入)_ 県外に常住し、県内で従業する15歳以上就業者_平成17年_2005","  (流入)_ 県外に常住し、県内で従業する15歳以上就業者_平成22年_2010"
" 総  数","35076.0","33417.0","32164.0","29559.0","13372.0","13970.0","13774.0","13413.0"
"","","","","","","","",""
" 農  業","79.0","97.0","89.0","88.0","42.0","38.0","70.0","68.0"
" 林  業","113.0","92.0","58.0","51.0","45.0","38.0","38.0","49.0"
" 漁  業","79.0","39.0","28.0","14.0","97.0","49.0","31.0","21.0"
" 鉱  業","22.0","12.0","13.0","2.0","7.0","4.0","1.0","7.0"
" 建設業","3097.0","3036.0","2694.0","2223.0","1744.0","1945.0","1745.0","1474.0"
" 製造業","6776.0","6374.0","5622.0","5095.0","2062.0","1951.0","1679.0","1628.0"
" 電･ガ･水道","671.0","620.0","502.0","446.0","244.0","253.0","183.0","190.0"
" 情報通信","-","-","1254.0","1133.0","-","-","298.0","219.0"
" 運輸","5437.0","4813.0","3399.0","3078.0","1528.0","1402.0","972.0","998.0"
" 卸売･小売","6411.0","5942.0","5346.0","4808.0","2763.0","2894.0","2509.0","2254.0"
" 金融･保険","1745.0","1354.0","1188.0","1169.0","846.0","879.0","822.0","806.0"
" 不動産業","425.0","336.0","371.0","429.0","156.0","164.0","193.0","240.0"
" 学術研究、専門技術サービス業","-","-","-","912.0","-","-","-","484.0"
" 飲食店,宿泊","-","-","757.0","880.0","-","-","533.0","565.0"
" 生活関連サービス業、娯楽業","-","-","-","817.0","-","-","-","424.0"
" 教育，学習支援","-","-","2056.0","1928.0","-","-","847.0","853.0"
" 医療，福祉","-","-","2326.0","2602.0","-","-","1210.0","1441.0"
" 複合サービス","-","-","346.0","170.0","-","-","206.0","104.0"
" サ－ビス業","8564.0","8934.0","4219.0","1797.0","3230.0","3628.0","1699.0","696.0"
" 公  務","1511.0","1597.0","1487.0","1480.0","541.0","616.0","633.0","672.0"
" 分類不能","146.0","171.0","409.0","437.0","67.0","109.0","105.0","220.0"
